original_filename,src_ratio,src_format,com_ratio,com_format,metric,score
anders-wideskott-57598-unsplash-cropped,10,jp2,20,jpg,PSNR,26.906183770194545
anders-wideskott-57598-unsplash-cropped,10,jp2,20,jp2,PSNR,30.995796238036775
anders-wideskott-57598-unsplash-cropped,10,jp2,20,jxr,PSNR,26.821830254652873
anders-wideskott-57598-unsplash-cropped,10,jp2,20,bpg,PSNR,30.157568376667893
anders-wideskott-57598-unsplash-cropped,10,jp2,20,jp2,UQI,0.9846001534754
anders-wideskott-57598-unsplash-cropped,10,jp2,20,jxr,UQI,0.9708845760758859
anders-wideskott-57598-unsplash-cropped,10,jp2,20,bpg,UQI,0.981896897818352
anders-wideskott-57598-unsplash-cropped,10,jp2,20,jpg,UQI,0.9751785309927508
anders-wideskott-57598-unsplash-cropped,10,jp2,20,jp2,SSIM,0.9325015180629922
anders-wideskott-57598-unsplash-cropped,10,jp2,20,jxr,SSIM,0.8415951785497381
anders-wideskott-57598-unsplash-cropped,10,jp2,20,jpg,SSIM,0.8829316412698652
anders-wideskott-57598-unsplash-cropped,10,jp2,20,bpg,SSIM,0.9243214331843713
anders-wideskott-57598-unsplash-cropped,10,jp2,20,jp2,SCC,0.6570082816034084
anders-wideskott-57598-unsplash-cropped,10,jp2,20,jp2,SAM,0.04654204411974538
anders-wideskott-57598-unsplash-cropped,10,jp2,20,bpg,SCC,0.5349004709565598
anders-wideskott-57598-unsplash-cropped,10,jp2,20,jpg,SCC,0.46345704569397544
anders-wideskott-57598-unsplash-cropped,10,jp2,20,bpg,SAM,0.050513657364043396
anders-wideskott-57598-unsplash-cropped,10,jp2,20,jxr,SCC,0.39012844003224584
anders-wideskott-57598-unsplash-cropped,10,jp2,20,jpg,SAM,0.07365026144820104
anders-wideskott-57598-unsplash-cropped,10,jp2,20,jxr,SAM,0.07547822255716836
anders-wideskott-57598-unsplash-cropped,10,jp2,20,jp2,VIFP,0.9237034334422648
anders-wideskott-57598-unsplash-cropped,10,jp2,20,jpg,VIFP,0.9080764450190674
anders-wideskott-57598-unsplash-cropped,10,jp2,40,bpg,PSNR,27.368346238906163
anders-wideskott-57598-unsplash-cropped,10,jp2,40,jp2,PSNR,26.40028778329185
anders-wideskott-57598-unsplash-cropped,10,jp2,20,bpg,VIFP,0.9172179761492852
anders-wideskott-57598-unsplash-cropped,10,jp2,40,jpg,PSNR,23.531152469049474
anders-wideskott-57598-unsplash-cropped,10,jp2,20,jxr,VIFP,0.8941725842704847
anders-wideskott-57598-unsplash-cropped,10,jp2,40,jxr,PSNR,23.981382941880838
anders-wideskott-57598-unsplash-cropped,10,jp2,40,bpg,UQI,0.9735067677058599
anders-wideskott-57598-unsplash-cropped,10,jp2,40,jp2,UQI,0.9687611542445654
anders-wideskott-57598-unsplash-cropped,10,jp2,40,jpg,UQI,0.9537135502825665
anders-wideskott-57598-unsplash-cropped,10,jp2,40,jp2,SSIM,0.843106103162417
anders-wideskott-57598-unsplash-cropped,10,jp2,40,bpg,SSIM,0.8710923207949081
anders-wideskott-57598-unsplash-cropped,10,jp2,40,jxr,UQI,0.9570782153410743
anders-wideskott-57598-unsplash-cropped,10,jp2,40,jpg,SSIM,0.7797774876345277
anders-wideskott-57598-unsplash-cropped,10,jp2,40,jxr,SSIM,0.74667017319022
anders-wideskott-57598-unsplash-cropped,10,jp2,40,jp2,SCC,0.4529701885986739
anders-wideskott-57598-unsplash-cropped,10,jp2,40,bpg,SCC,0.42706602866525767
anders-wideskott-57598-unsplash-cropped,10,jp2,40,jp2,SAM,0.07902667514120885
anders-wideskott-57598-unsplash-cropped,10,jp2,40,bpg,SAM,0.0699089551795657
anders-wideskott-57598-unsplash-cropped,10,jp2,40,jpg,SCC,0.28203337996370315
anders-wideskott-57598-unsplash-cropped,10,jp2,40,jpg,SAM,0.10935329723617432
anders-wideskott-57598-unsplash-cropped,10,jp2,40,jxr,SCC,0.2515793143214661
anders-wideskott-57598-unsplash-cropped,10,jp2,40,jxr,SAM,0.10483954618497232
anders-wideskott-57598-unsplash-cropped,10,jp2,40,jp2,VIFP,0.9060966900391243
anders-wideskott-57598-unsplash-cropped,10,jp2,40,bpg,VIFP,0.89911018794377
anders-wideskott-57598-unsplash-cropped,10,jp2,60,jp2,PSNR,24.087164043212297
anders-wideskott-57598-unsplash-cropped,10,jp2,60,bpg,PSNR,25.807928504717292
anders-wideskott-57598-unsplash-cropped,10,jp2,40,jpg,VIFP,0.8791676656326649
anders-wideskott-57598-unsplash-cropped,10,jp2,60,jpg,PSNR,21.062468767382164
anders-wideskott-57598-unsplash-cropped,10,jp2,60,jp2,UQI,0.9561811312964855
anders-wideskott-57598-unsplash-cropped,10,jp2,40,jxr,VIFP,0.8744897574690469
anders-wideskott-57598-unsplash-cropped,10,jp2,60,bpg,UQI,0.9667649738624436
anders-wideskott-57598-unsplash-cropped,10,jp2,60,jxr,PSNR,22.724916403044784
anders-wideskott-57598-unsplash-cropped,10,jp2,60,jpg,UQI,0.928711368171384
anders-wideskott-57598-unsplash-cropped,10,jp2,60,jp2,SSIM,0.7670118052124737
anders-wideskott-57598-unsplash-cropped,10,jp2,60,bpg,SSIM,0.8259329290336836
anders-wideskott-57598-unsplash-cropped,10,jp2,60,jxr,UQI,0.948515076410707
anders-wideskott-57598-unsplash-cropped,10,jp2,60,jpg,SSIM,0.6725913056793291
anders-wideskott-57598-unsplash-cropped,10,jp2,60,jxr,SSIM,0.6930393365674611
anders-wideskott-57598-unsplash-cropped,10,jp2,60,bpg,SCC,0.3521517250130269
anders-wideskott-57598-unsplash-cropped,10,jp2,60,jp2,SCC,0.33768872873920447
anders-wideskott-57598-unsplash-cropped,10,jp2,60,bpg,SAM,0.08395367140361222
