filename,srccompRatio,srcformat,comcompRatio,comformat,metric,score
test_10_jp2,10,jp2,20,bpg,PSNR,31.23904946995349
test_10_jp2,10,jp2,20,bpg,UQI,0.9975500922210835
test_10_jp2,10,jp2,20,bpg,SSIM,0.9509842610067363
test_10_jp2,10,jp2,20,bpg,ERGAS,2228.4316913717826
test_10_jp2,10,jp2,20,bpg,SAM,0.0400680987702227
test_10_jp2,10,jp2,20,bpg,VIFP,0.5486235101695536
test_10_jp2,10,jp2,20,jp2,PSNR,29.95396114598991
test_10_jp2,10,jp2,20,jp2,UQI,0.9969121229382606
test_10_jp2,10,jp2,20,jp2,SSIM,0.9403570678502181
test_10_jp2,10,jp2,20,jp2,ERGAS,2536.742670734329
test_10_jp2,10,jp2,20,jp2,SAM,0.04644078821993761
test_10_jp2,10,jp2,20,jp2,VIFP,0.5147591746574148
test_10_jp2,10,jp2,20,jpg,PSNR,25.359099916321547
test_10_jp2,10,jp2,20,jpg,UQI,0.9912848955310108
test_10_jp2,10,jp2,20,jpg,SSIM,0.8653584444975476
test_10_jp2,10,jp2,20,jpg,ERGAS,4261.820588809057
test_10_jp2,10,jp2,20,jpg,SAM,0.07910767871691149
test_10_jp2,10,jp2,20,jpg,VIFP,0.3680469124093779
test_10_jp2,10,jp2,20,jxr,PSNR,26.36777133395604
test_10_jp2,10,jp2,20,jxr,UQI,0.9931397793246837
test_10_jp2,10,jp2,20,jxr,SSIM,0.8665826352310995
test_10_jp2,10,jp2,20,jxr,ERGAS,3911.626342629504
test_10_jp2,10,jp2,20,jxr,SAM,0.07062647413777164
test_10_jp2,10,jp2,20,jxr,VIFP,0.37743029066980865
test_10_jp2,10,jp2,40,bpg,PSNR,27.540903575561252
test_10_jp2,10,jp2,40,bpg,UQI,0.9945471102023428
test_10_jp2,10,jp2,40,bpg,SSIM,0.9026817081711802
test_10_jp2,10,jp2,40,bpg,ERGAS,3352.1798902198884
test_10_jp2,10,jp2,40,bpg,SAM,0.06142263869675615
test_10_jp2,10,jp2,40,bpg,VIFP,0.42912382626869644
test_10_jp2,10,jp2,40,jp2,PSNR,24.795342225759956
test_10_jp2,10,jp2,40,jp2,UQI,0.9898555954595097
test_10_jp2,10,jp2,40,jp2,SSIM,0.856112038753372
test_10_jp2,10,jp2,40,jp2,ERGAS,4490.120626845202
test_10_jp2,10,jp2,40,jp2,SAM,0.08423799895462077
test_10_jp2,10,jp2,40,jp2,VIFP,0.34721803655632105
test_10_jp2,10,jp2,40,jpg,PSNR,20.036613268733415
test_10_jp2,10,jp2,40,jpg,UQI,0.9657412326955725
test_10_jp2,10,jp2,40,jpg,SSIM,0.679159571952801
test_10_jp2,10,jp2,40,jpg,ERGAS,8054.394793018853
test_10_jp2,10,jp2,40,jpg,SAM,0.14633576955320626
test_10_jp2,10,jp2,40,jpg,VIFP,0.19311019323836157
test_10_jp2,10,jp2,40,jxr,PSNR,22.207242785653744
test_10_jp2,10,jp2,40,jxr,UQI,0.9836299064884549
test_10_jp2,10,jp2,40,jxr,SSIM,0.7471134669524592
test_10_jp2,10,jp2,40,jxr,ERGAS,6073.8420048698035
test_10_jp2,10,jp2,40,jxr,SAM,0.11409535586911708
test_10_jp2,10,jp2,40,jxr,VIFP,0.23914697994302112
test_10_jp2,10,jp2,60,bpg,PSNR,26.048961316634415
test_10_jp2,10,jp2,60,bpg,UQI,0.9925907428026305
test_10_jp2,10,jp2,60,bpg,SSIM,0.8716112610574284
test_10_jp2,10,jp2,60,bpg,ERGAS,3931.615518948697
test_10_jp2,10,jp2,60,bpg,SAM,0.07303007637157982
test_10_jp2,10,jp2,60,bpg,VIFP,0.3775790227359617
test_10_jp2,10,jp2,60,jp2,PSNR,21.54382746447243
test_10_jp2,10,jp2,60,jp2,UQI,0.9798168273175231
test_10_jp2,10,jp2,60,jp2,SSIM,0.7481220219778848
test_10_jp2,10,jp2,60,jp2,ERGAS,6279.39873527071
test_10_jp2,10,jp2,60,jp2,SAM,0.12285282490455272
test_10_jp2,10,jp2,60,jp2,VIFP,0.24265725513676986
test_10_jp2,10,jp2,60,jpg,PSNR,20.036613268733415
test_10_jp2,10,jp2,60,jpg,UQI,0.9657412326955725
test_10_jp2,10,jp2,60,jpg,SSIM,0.679159571952801
test_10_jp2,10,jp2,60,jpg,ERGAS,8054.394793018853
test_10_jp2,10,jp2,60,jpg,SAM,0.14633576955320626
test_10_jp2,10,jp2,60,jpg,VIFP,0.19311019323836157
test_10_jp2,10,jp2,60,jxr,PSNR,20.57139741651316
test_10_jp2,10,jp2,60,jxr,UQI,0.9761728198666257
test_10_jp2,10,jp2,60,jxr,SSIM,0.6712526768245848
test_10_jp2,10,jp2,60,jxr,ERGAS,7176.103652965486
