original_filename,src_ratio,src_format,com_ratio,com_format,metric,score
tadej-skofic-571573-unsplash-shrinked,10,jp2,20,bpg,PSNR,41.296903705051136
tadej-skofic-571573-unsplash-shrinked,10,jp2,20,bpg,UQI,0.9980104601341332
tadej-skofic-571573-unsplash-shrinked,10,jp2,20,bpg,SSIM,0.9693149800908237
tadej-skofic-571573-unsplash-shrinked,10,jp2,20,bpg,SCC,0.2831128054958344
tadej-skofic-571573-unsplash-shrinked,10,jp2,20,bpg,SAM,0.01878717670198705
tadej-skofic-571573-unsplash-shrinked,10,jp2,20,bpg,VIFP,0.9496322835609686
tadej-skofic-571573-unsplash-shrinked,10,jp2,20,jp2,PSNR,42.72692145375608
tadej-skofic-571573-unsplash-shrinked,10,jp2,20,jp2,UQI,0.998352135350677
tadej-skofic-571573-unsplash-shrinked,10,jp2,20,jp2,SSIM,0.9756847655513782
tadej-skofic-571573-unsplash-shrinked,10,jp2,20,jp2,SCC,0.5555551339565642
tadej-skofic-571573-unsplash-shrinked,10,jp2,20,jp2,SAM,0.0161783677429799
tadej-skofic-571573-unsplash-shrinked,10,jp2,20,jp2,VIFP,0.9505430383039265
tadej-skofic-571573-unsplash-shrinked,10,jp2,20,jpg,PSNR,38.165874601062
tadej-skofic-571573-unsplash-shrinked,10,jp2,20,jpg,UQI,0.9965307301164499
tadej-skofic-571573-unsplash-shrinked,10,jp2,20,jpg,SSIM,0.948613942187925
tadej-skofic-571573-unsplash-shrinked,10,jp2,20,jpg,SCC,0.22754282401877904
tadej-skofic-571573-unsplash-shrinked,10,jp2,20,jpg,SAM,0.02723052050033427
tadej-skofic-571573-unsplash-shrinked,10,jp2,20,jpg,VIFP,0.9402832050824188
tadej-skofic-571573-unsplash-shrinked,10,jp2,20,jxr,PSNR,38.50969567940888
tadej-skofic-571573-unsplash-shrinked,10,jp2,20,jxr,UQI,0.9967914141878893
tadej-skofic-571573-unsplash-shrinked,10,jp2,20,jxr,SSIM,0.9411882077179893
tadej-skofic-571573-unsplash-shrinked,10,jp2,20,jxr,SCC,0.14976987812680384
tadej-skofic-571573-unsplash-shrinked,10,jp2,20,jxr,SAM,0.025987094220462678
tadej-skofic-571573-unsplash-shrinked,10,jp2,20,jxr,VIFP,0.9316665686006157
tadej-skofic-571573-unsplash-shrinked,10,jp2,40,bpg,PSNR,39.27780214234969
tadej-skofic-571573-unsplash-shrinked,10,jp2,40,bpg,UQI,0.9971707346232718
tadej-skofic-571573-unsplash-shrinked,10,jp2,40,bpg,SSIM,0.9568058699261298
tadej-skofic-571573-unsplash-shrinked,10,jp2,40,bpg,SCC,0.19973375710137053
